graph,order,size,time,iterations,error,technique,min_compute
"min-2SCC","8","12","0.891","37","0.0000011474","pagerankComponentwiseCudaLiNorm","50000"
"min-2SCC","8","12","0.884","37","0.0000011474","pagerankComponentwiseCudaLiNorm","100000"
"min-2SCC","8","12","0.886","37","0.0000011474","pagerankComponentwiseCudaLiNorm","500000"
"min-2SCC","8","12","0.884","37","0.0000011474","pagerankComponentwiseCudaLiNorm","1000000"
"min-2SCC","8","12","0.884","37","0.0000011474","pagerankComponentwiseCudaLiNorm","5000000"
"min-2SCC","8","12","0.882","37","0.0000011474","pagerankComponentwiseCudaLiNorm","10000000"
"min-2SCC","8","12","0.884","37","0.0000011474","pagerankComponentwiseCudaLiNorm","50000000"
"min-4SCC","21","35","1.051","45","0","pagerankMonolithicCudaL1Norm","0"
"min-4SCC","21","35","4.365","50","0.0000030957","pagerankComponentwiseCudaL1Norm","1"
"min-4SCC","21","35","3.473","54","0.0000041425","pagerankComponentwiseCudaL1Norm","5"
"min-4SCC","21","35","3.468","49","0.0000017174","pagerankComponentwiseCudaL1Norm","10"
"min-4SCC","21","35","0.93","45","0","pagerankComponentwiseCudaL1Norm","50"
"min-4SCC","21","35","0.824","45","0","pagerankComponentwiseCudaL1Norm","100"
"min-4SCC","21","35","0.828","45","0","pagerankComponentwiseCudaL1Norm","500"
"min-4SCC","21","35","0.827","45","0","pagerankComponentwiseCudaL1Norm","1000"
"min-4SCC","21","35","0.871","45","0","pagerankComponentwiseCudaL1Norm","5000"
"min-4SCC","21","35","0.841","45","0","pagerankComponentwiseCudaL1Norm","10000"
"min-4SCC","21","35","0.847","45","0","pagerankComponentwiseCudaL1Norm","50000"
"min-4SCC","21","35","0.867","45","0","pagerankComponentwiseCudaL1Norm","100000"
"min-4SCC","21","35","0.828","45","0","pagerankComponentwiseCudaL1Norm","500000"
"min-4SCC","21","35","0.828","45","0","pagerankComponentwiseCudaL1Norm","1000000"
"min-4SCC","21","35","0.833","45","0","pagerankComponentwiseCudaL1Norm","5000000"
"min-4SCC","21","35","0.853","45","0","pagerankComponentwiseCudaL1Norm","10000000"
"min-4SCC","21","35","0.825","45","0","pagerankComponentwiseCudaL1Norm","50000000"
"min-4SCC","21","35","0.755","41","0.0000011288","pagerankMonolithicCudaL2Norm","0"
"min-4SCC","21","35","3.235","46","0.0000077775","pagerankComponentwiseCudaL2Norm","1"
"min-4SCC","21","35","2.559","49","0.000010493","pagerankComponentwiseCudaL2Norm","5"
"min-4SCC","21","35","1.868","46","0.0000028908","pagerankComponentwiseCudaL2Norm","10"
"min-4SCC","21","35","0.756","41","0.0000011288","pagerankComponentwiseCudaL2Norm","50"
"min-4SCC","21","35","0.74","41","0.0000011288","pagerankComponentwiseCudaL2Norm","100"
"min-4SCC","21","35","0.739","41","0.0000011288","pagerankComponentwiseCudaL2Norm","500"
"min-4SCC","21","35","0.738","41","0.0000011288","pagerankComponentwiseCudaL2Norm","1000"
"min-4SCC","21","35","0.758","41","0.0000011288","pagerankComponentwiseCudaL2Norm","5000"
"min-4SCC","21","35","0.788","41","0.0000011288","pagerankComponentwiseCudaL2Norm","10000"
"min-4SCC","21","35","1.045","41","0.0000011288","pagerankComponentwiseCudaL2Norm","50000"
"min-4SCC","21","35","0.733","41","0.0000011288","pagerankComponentwiseCudaL2Norm","100000"
"min-4SCC","21","35","0.731","41","0.0000011288","pagerankComponentwiseCudaL2Norm","500000"
"min-4SCC","21","35","0.761","41","0.0000011288","pagerankComponentwiseCudaL2Norm","1000000"
"min-4SCC","21","35","0.737","41","0.0000011288","pagerankComponentwiseCudaL2Norm","5000000"
"min-4SCC","21","35","0.738","41","0.0000011288","pagerankComponentwiseCudaL2Norm","10000000"
"min-4SCC","21","35","0.731","41","0.0000011288","pagerankComponentwiseCudaL2Norm","50000000"
"min-4SCC","21","35","0.741","40","0.000001654","pagerankMonolithicCudaLiNorm","0"
"min-4SCC","21","35","2.534","38","0.000047235","pagerankComponentwiseCudaLiNorm","1"
"min-4SCC","21","35","2.07","41","0.000049589","pagerankComponentwiseCudaLiNorm","5"
"min-4SCC","21","35","1.607","42","0.000021465","pagerankComponentwiseCudaLiNorm","10"
"min-4SCC","21","35","0.741","40","0.000001654","pagerankComponentwiseCudaLiNorm","50"
"min-4SCC","21","35","0.706","40","0.000001654","pagerankComponentwiseCudaLiNorm","100"
"min-4SCC","21","35","0.717","40","0.000001654","pagerankComponentwiseCudaLiNorm","500"
"min-4SCC","21","35","0.72","40","0.000001654","pagerankComponentwiseCudaLiNorm","1000"
"min-4SCC","21","35","0.729","40","0.000001654","pagerankComponentwiseCudaLiNorm","5000"
"min-4SCC","21","35","0.713","40","0.000001654","pagerankComponentwiseCudaLiNorm","10000"
"min-4SCC","21","35","0.716","40","0.000001654","pagerankComponentwiseCudaLiNorm","50000"
"min-4SCC","21","35","0.712","40","0.000001654","pagerankComponentwiseCudaLiNorm","100000"
"min-4SCC","21","35","0.725","40","0.000001654","pagerankComponentwiseCudaLiNorm","500000"
